Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Number (PACE),Support Category Name,Support Category Name (PACE),Unit,Quote,Start date,End Date,National,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
05_040609811_0103_1_1,Circulation Support - Air-Filled Garments and Compression Units,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_043006111_0103_1_2,Cooling Vest - All Sizes,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_043303511_0103_1_2,Postural Support - Air Floatation or Automated Pressure Management,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_043303811_0103_1_2,Postural Support - Foam and/or Gel component system,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_043306002_0103_1_2,Pressure Reduction Mattress - Air Filled Section,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_043306803_0103_1_2,Pressure Reduction Mattress or Overlay - Complete,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_043306804_0103_1_2,Pressure Reduction Mattress or Overlay - High Complexity Need,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_044839811_0103_1_2,Standing Frame - Supports for Standing,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_044839870_0103_1_2,Standing or Walking Frame accessory - Powered Component (including Myoelectric),0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_060000115_0135_1_2,AT Rental - Prosthesis and Orthosis,0135,Customised Prosthetics (includes Orthotics),5,19,Assistive Technology,"Assistive Technology Maintenance, Repair and Rental",E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_060315111_0135_1_2,Orthosis - Cervical and Cranial,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_060318821_0135_1_2,Orthosis - Cervico-Thoraco-Lumbo-Sacral,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_060600111_0135_1_2,Orthosis - Upper Limb - Prefabricated,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_060600821_0135_1_2,Orthosis - Upper Limb - Custom Made,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_060688121_0135_1_2,Orthosis - Dynamic or Lycra - Limb,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_061203111_0135_1_2,Orthosis - Foot (all types) or Prefabricated Orthotic Footwear,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_061203821_0135_1_2,Orthosis - Footwear/Shoes Other - Custom Made,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_061206111_0135_1_2,Orthosis - Ankle Foot (AFO) - Prefabricated,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_061206821_0135_1_2,Orthosis - Ankle Foot (AFO) - Custom Made,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_061206891_0135_1_2,Orthosis - Ankle Foot with Ankle Joints - Custom Made,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_061209111_0105_1_2,Orthosis - Knee - Prefabricated,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_061209121_0135_1_2,Orthosis - Knee - Custom Made,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_061209821_0135_1_2,Orthosis - Thigh Knee Ankle - Custom Made,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_061212821_0135_1_2,Orthosis - Knee Ankle Foot - Custom Made,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_061215111_0105_1_2,Orthosis - Hip - Prefabricated,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_061218811_0135_1_2,Orthosis - Bilateral Hip Knee Ankle Foot Orthosis (incl RGO) - Prefabricated,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_061218821_0135_1_2,Orthosis - Hip Thigh Knee Ankle - Custom Made,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_061219821_0135_1_2,Orthosis - Bilateral Thoraco-lumbar/Lumbo-Sacral Hip Knee Ankle Foot - Custom,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_061290821_0135_1_2,Orthosis - Dynamic or Lycra - Full Body,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_061500811_0135_1_2,Orthosis - Trunk/Lower Body - FES or Powered - to support standing/walking,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_061800121_0135_1_2,Prosthesis - Upper Limb (Including Powered),0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
05_061826871_0135_1_2,Prosthesis - Accessory - Arm and Hand for Sport and Leisure,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_062200921_0135_1_2,Prosthesis - Osseo-Integration Mounting (Upper or Lower) - Additional Cost,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
05_062409121_0135_1_2,Prosthesis - Transtibial or Lower,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
05_062415121_0135_1_2,Prosthesis - Transfemoral or Higher,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
05_062488034_0135_1_2,Prosthesis - Lower Limb - Not Defined,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
05_062488121_0135_1_2,Prosthesis - Specialist Lower Limb For Sports,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
05_062490191_0135_1_2,Prosthesis - For Wet Area Use (i.e. waterproofing) - Additional Cost,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
05_063000821_0135_1_2,Prosthesis - Not Limb Related,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_090000155_0103_1_2,AT Rental - Personal Care and Safety,0103,Assistive Products For Personal Care And Safety,5,19,Assistive Technology,"Assistive Technology Maintenance, Repair and Rental",E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_091200111_0103_1_2,Toilet Attachments and Accessories - Seat/Toilet Raiser/Toileting Bidet,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_091203053_0103_1_2,Shower Commode - Wheeled - Low Transporter,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_091203811_0103_1_2,Shower Commode - Wheeled,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_091203821_0103_1_2,Shower Commode - Wheeled - High Intensity need,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_091203891_0103_1_2,Shower Commode - Wheeled - Tilt In Space,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_093305121_0103_1_2,Bathing Support - Special Design,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_093312811_0103_1_2,Change Table/Shower Trolley - Manual,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_093312891_0103_1_2,Change Table/Shower Trolley - Powered,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_120303111_0105_1_2,Walking Supports - Sticks Canes And Crutches,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_120603831_0103_1_2,Standing and/or Walking Frame - Child,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_120606096_0105_1_2,Wheeled Walker - Standard,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_120606097_0105_1_2,Rollator - Standard,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_120606811_0105_1_2,Walking Frame or Walker,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_120606831_0105_1_2,Rollator - Standard - Child,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_120612100_0105_1_2,Walking Tables,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_121205811_0109_1_2,Vehicle Modification - Adaptions for Driver Control,0109,Vehicle Modifications,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_121208111_0109_1_2,Vehicle Modification - Adaptions For Ancillary Functions e.g. Lights Locking,0109,Vehicle Modifications,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_121209821_0109_1_2,Vehicle Modification - For Seating and/or Seat Belts,0109,Vehicle Modifications,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_121212811_0103_1_2,Specialised Child Car Seats - no Vehicle Modification Required,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_121215811_0109_1_2,Vehicle Modification - Hoist for Passenger Loading (without Wheelchair),0109,Vehicle Modifications,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_121218811_0109_1_2,Vehicle Modification - Hoist for Occupied Wheelchair Loading,0109,Vehicle Modifications,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_121221811_0109_1_2,Vehicle Modification - Hoist/Ramp for Unoccupied Wheelchair Loading,0109,Vehicle Modifications,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_121227121_0109_1_2,Vehicle Modification - Chassis/Body work - For Wheelchair Passenger,0109,Vehicle Modifications,5,5,Assistive Technology,Assistive Technology,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
05_121227125_0108_1_2,AT Rental - Vehicle modified for Access,0108,Assistance With Travel/Transport Arrangements,5,19,Assistive Technology,"Assistive Technology Maintenance, Repair and Rental",E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_121227221_0109_1_2,Vehicle Modification - Chassis/Body work - For Wheelchair Seated Driver,0109,Vehicle Modifications,5,5,Assistive Technology,Assistive Technology,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
05_121230811_0109_1_2,Vehicle Accessory -Trailer for wheeled mobility device,0109,Vehicle Modifications,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_121290111_0109_1_2,Vehicle Modification - Engineers Certification,0109,Vehicle Modifications,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_121800821_0112_1_2,Bicycle - Tricycle and/or Carts adapted for specific functional needs,0112,Assistive Equipment For Recreation,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_121805111_0112_1_2,Bicycle - Adapted FOR Hand Propulsion,0112,Assistive Equipment For Recreation,5,5,Assistive Technology,Assistive Technology,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
05_121821871_0112_1_2,Bicycle - Adaptation for Pedals/Seat/Handlebars,0112,Assistive Equipment For Recreation,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_122203811_0105_1_2,Wheelchair - Manual - Folding - Basic,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_122203821_0105_1_2,Wheelchair - Manual - Folding - Custom Made,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_122203891_0105_1_2,Wheelchair - Manual - Tilt In Space,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_122203911_0105_1_2,Wheelchair - Manual - Rigid Frame,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_122218111_0105_1_2,Wheelchair - Manual - Attendant Propel - Custom Folding/Rigid Frame,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_122290811_0105_1_2,Wheelchair - Manual - Sport and Recreation Use,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_122303811_0105_1_2,Scooter - Indoor/Outdoor use,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_122303891_0105_1_2,Scooter - Heavy Duty/Robust Activity Specific,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_122303911_0105_1_2,Scooter - Electric Powered - Portable,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
